"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","9","Billions",,,138.4823,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","9","Billions",,,130.2701,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2019-Q2","Q2-2019","USD","US Dollar","9","Billions",,,138.2859,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2019-Q3","Q3-2019","USD","US Dollar","9","Billions",,,127.3781,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","9","Billions",,,136.7047,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","9","Billions",,,124.0196,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2016-Q4","Q4-2016","USD","US Dollar","9","Billions",,,102.4222,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2017-Q1","Q1-2017","USD","US Dollar","9","Billions",,,109.0208,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","9","Billions",,,112.7215,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,110.4503,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,120.8578,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,129.9211,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,128.6841,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,118.0869,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","9","Billions",,,126.4016,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","9","Billions",,,121.026,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2019-Q2","Q2-2019","USD","US Dollar","9","Billions",,,122.6219,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2019-Q3","Q3-2019","USD","US Dollar","9","Billions",,,113.0378,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","9","Billions",,,116.8273,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","9","Billions",,,110.4524,,
"XTEXVA01","Exports in goods (value)","JPN","Japan","CXML","US-Dollar converted","Q","Quarterly","2016-Q4","Q4-2016","USD","US Dollar","9","Billions",,,169.1923,,
"XTEXVA01","Exports in goods (value)","JPN","Japan","CXML","US-Dollar converted","Q","Quarterly","2017-Q1","Q1-2017","USD","US Dollar","9","Billions",,,167.0582,,
"XTEXVA01","Exports in goods (value)","JPN","Japan","CXML","US-Dollar converted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","9","Billions",,,169.1865,,
"XTEXVA01","Exports in goods (value)","JPN","Japan","CXML","US-Dollar converted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,176.3797,,
"XTEXVA01","Exports in goods (value)","JPN","Japan","CXML","US-Dollar converted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,185.2171,,
"XTEXVA01","Exports in goods (value)","JPN","Japan","CXML","US-Dollar converted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,183.9403,,
"XTEXVA01","Exports in goods (value)","JPN","Japan","CXML","US-Dollar converted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,185.1662,,
"XTEXVA01","Exports in goods (value)","JPN","Japan","CXML","US-Dollar converted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,180.7664,,
